DATE,TIME,CALLER ALIAS,CAR REGISTRATION,REASON FOR CALL,RESPONSE GIVEN/CONCLUSION,LOCATION
21/04/2024,21:46:40,Caller 33,KHL 8016,Booking,Pending,Patriciastad
16/03/2024,19:29:04,Caller 76,KHQ 2417,Payment Issue,Escalated,West Emma
18/12/2023,02:29:54,Caller 68,KDT 2952,Car Wash Inquiry,No Action Needed,Stevenhaven
10/08/2023,18:28:56,Caller 56,KMu 2149,General Question,Pending,Anthonybury
24/05/2023,16:23:25,Caller 65,KzG 5890,Car Wash Inquiry,Pending,East Carl
04/04/2024,04:55:50,Caller 63,KmR 6592,Car Wash Inquiry,No Action Needed,Eugeneburgh
02/08/2023,02:19:38,Caller 30,KTl 5054,Payment Issue,Resolved,Jonathanville
26/01/2024,21:27:30,Caller 10,KXI 0482,Car Wash Inquiry,Escalated,Lake William
18/07/2023,07:44:56,Caller 36,Kfw 8378,Booking,No Action Needed,Port Malikhaven
21/02/2023,17:56:04,Caller 71,KkX 1717,Car Wash Inquiry,No Action Needed,Weberbury
13/09/2023,07:18:53,Caller 48,KVg 7337,Complaint,Pending,Hicksport
26/02/2023,14:28:14,Caller 65,Kei 7692,General Question,Resolved,New Austinmouth
26/12/2023,06:13:58,Caller 4,KBE 8131,Complaint,Pending,Kelleystad
19/10/2023,15:15:49,Caller 74,KnI 2572,Complaint,Resolved,South Gregory
11/06/2023,05:54:10,Caller 20,Ksa 0192,Payment Issue,No Action Needed,West Zacharyshire
25/03/2024,06:15:18,Caller 74,KIu 2573,Car Wash Inquiry,Escalated,Port Michellefurt
20/01/2024,09:22:06,Caller 31,Kpz 6187,General Question,Escalated,West Aaronland
27/03/2023,11:16:57,Caller 72,KPM 0495,Payment Issue,Escalated,New Martha
24/04/2023,14:08:07,Caller 31,KZc 1597,Booking,Escalated,Lake Jeffreymouth
03/05/2024,19:18:56,Unknown Caller,KUL 5895,Booking,No Action Needed,South Kelsey
17/09/2023,00:27:54,Caller 1,KdY 9017,Booking,Resolved,Rodriguezland
16/08/2023,05:25:26,Caller 23,KKR 0086,Car Wash Inquiry,No Action Needed,Normatown
28/03/2024,05:08:27,Caller 13,KtH 5107,Car Wash Inquiry,No Action Needed,Parkstad
24/03/2023,09:34:16,Caller 62,Kth 0021,Payment Issue,Pending,Port Markville
25/03/2024,21:24:34,Caller 54,KDr 7053,Booking,Pending,South Christina
20/12/2023,21:11:01,Caller 62,KSj 3326,Car Wash Inquiry,Escalated,Matthewton
11/08/2023,23:48:20,Caller 70,Kpa 1620,General Question,Escalated,Lake Michellebury
24/03/2023,18:30:32,Caller 47,KdS 2246,Booking,Pending,West Jose
02/12/2023,22:31:58,Caller 35,KoA 4229,Booking,Resolved,South Andrewfort
14/10/2023,23:07:22,Caller 7,KCF 4590,Complaint,Escalated,Port Kenneth
07/04/2023,16:18:07,Caller 18,KOV 9257,Payment Issue,Escalated,Wongchester
27/07/2023,07:28:33,Caller 79,Keu 3699,Complaint,Pending,Benjaminfort
06/01/2023,12:32:55,Caller 31,KrK 3799,Car Wash Inquiry,Escalated,Randallton
17/02/2024,21:42:30,Caller 78,KtD 3453,Car Wash Inquiry,Escalated,Port Mackenzie
17/02/2024,15:50:00,Caller 20,KNW 5336,Complaint,Resolved,Lake George
20/10/2023,15:56:40,Caller 32,KVC 2267,Car Wash Inquiry,No Action Needed,West Brittany
29/07/2023,17:31:55,Caller 9,Kyo 5453,Complaint,Pending,Lopezton
05/06/2023,14:47:07,Caller 19,Ksx 2333,Complaint,No Action Needed,Calebfort
07/01/2023,13:46:15,Caller 60,KRv 0982,General Question,No Action Needed,Lambertport
10/01/2023,16:47:06,Caller 65,KxI 8503,General Question,Pending,Beardville
08/10/2023,00:50:19,Caller 7,KUM 1517,Complaint,Pending,Gibsonhaven
06/11/2023,19:24:43,Caller 72,Kfm 2627,Car Wash Inquiry,Resolved,Taylorville
11/10/2023,02:19:17,Caller 49,Koz 7975,Car Wash Inquiry,Resolved,East Brian
22/02/2023,23:42:24,Caller 39,Kso 4607,Car Wash Inquiry,Escalated,Underwoodville
24/01/2024,01:04:59,Caller 48,Kpr 9701,Complaint,Pending,East Jessica
21/09/2023,12:43:12,Caller 14,Kjl 6308,Car Wash Inquiry,Escalated,Kurtfurt
24/03/2023,02:26:35,Caller 30,KpA 7110,Complaint,No Action Needed,Johnstad
20/01/2024,06:17:02,Caller 12,KGX 7996,Booking,Escalated,Lake Cynthia
15/05/2023,17:04:02,Caller 26,Kwd 4131,General Question,Escalated,Port Jesus
13/09/2023,13:17:42,Caller 67,KYp 4945,Booking,Pending,Richmondburgh
27/02/2024,01:18:37,Caller 31,KFj 9450,Payment Issue,Escalated,Martinbury
13/02/2023,06:53:03,Unknown Caller,Khz 7410,Complaint,No Action Needed,Brendanmouth
10/11/2023,15:09:21,Caller 30,KJp 0313,General Question,Resolved,East Zacharyside
10/01/2024,03:40:35,Caller 17,KOj 4287,Complaint,Pending,Lake Michael
22/05/2023,22:15:58,Caller 44,KWO 7815,General Question,Pending,Crystalfurt
06/03/2024,21:31:21,Caller 14,Kkn 4168,Car Wash Inquiry,No Action Needed,Diazport
10/05/2024,01:36:58,Caller 29,KVD 4229,General Question,No Action Needed,South Curtismouth
28/04/2023,01:11:12,Caller 45,KXU 5102,Car Wash Inquiry,Escalated,Johnsonton
16/05/2023,13:19:57,Caller 54,KTM 7336,General Question,Resolved,Kingville
12/05/2024,03:43:33,Caller 32,Kte 3054,Payment Issue,No Action Needed,Donaldshire
06/10/2023,01:07:05,Caller 33,KJx 0143,Car Wash Inquiry,Resolved,Arianafort
02/08/2023,06:31:57,Caller 49,KzT 9116,Booking,Pending,Michaelbury
06/06/2023,18:12:52,Caller 68,KPW 2262,Payment Issue,Resolved,North Jessicamouth
27/05/2023,04:13:32,Caller 72,KQl 2875,General Question,Escalated,Lake Christine
07/03/2023,18:26:51,Caller 1,KuQ 7594,Complaint,Pending,Brownhaven
11/04/2023,08:11:47,Caller 74,KYC 9575,Payment Issue,Pending,Port Melissaside
21/09/2023,00:35:07,Caller 32,Kdo 3692,Car Wash Inquiry,Escalated,East Dominic
15/09/2023,20:59:01,Caller 56,KKr 8933,General Question,No Action Needed,North Michelleburgh
12/09/2023,06:08:13,Caller 18,Kye 3102,Payment Issue,Pending,South Ashleyside
29/12/2023,22:16:50,Caller 42,Kei 7771,Booking,No Action Needed,Port Anthonyville
09/04/2024,08:21:31,Caller 56,KKS 6180,Payment Issue,Resolved,Davidmouth
01/10/2023,12:24:30,Caller 52,KlS 0267,Booking,Escalated,West Paigehaven
26/11/2023,10:30:03,Caller 36,KSu 4540,Payment Issue,Resolved,Wheelerfurt
12/12/2023,13:44:53,Caller 29,Koe 4420,Complaint,Pending,Clinefort
10/04/2024,09:19:00,Caller 69,KWN 5056,General Question,Escalated,South David
01/09/2023,20:33:56,Caller 12,KYl 9090,General Question,Escalated,South Oscar
03/01/2024,23:14:44,Caller 14,KxI 2109,Payment Issue,Pending,Henrystad
03/09/2023,23:05:24,Caller 57,Kgs 6807,Booking,No Action Needed,Malonechester
08/04/2023,20:20:02,Caller 9,KXU 9753,Payment Issue,Escalated,Warrenville
23/09/2023,08:34:28,Caller 12,KiX 5813,Car Wash Inquiry,Pending,East Derekberg
06/12/2023,08:22:46,Caller 27,KjI 7046,Complaint,Resolved,Reillystad
07/07/2023,15:35:26,Caller 20,KUK 5050,General Question,No Action Needed,Baldwinshire
11/05/2023,20:26:30,Caller 17,KUB 7481,Payment Issue,Escalated,Erikberg
19/08/2023,05:38:41,Caller 11,KXb 3782,Complaint,Pending,Kennethmouth
30/03/2024,16:14:19,Unknown Caller,KiC 9813,Payment Issue,Resolved,Zacharyhaven
09/03/2023,08:34:28,Caller 63,KTT 2321,Complaint,Escalated,Danielburgh
26/04/2024,21:13:29,Caller 40,KzJ 5351,Payment Issue,Pending,Phillipsstad
22/06/2023,22:04:18,Caller 75,KNS 8068,Car Wash Inquiry,No Action Needed,Tuckerside
27/01/2023,15:26:24,Caller 45,KHS 5140,General Question,No Action Needed,Boyerchester
09/05/2023,18:16:27,Caller 5,KuV 2133,Car Wash Inquiry,Pending,Hendersonville
23/01/2024,00:18:56,Caller 72,KQt 7815,Payment Issue,No Action Needed,North Allisonchester
10/12/2023,13:59:31,Caller 50,KZe 5478,Payment Issue,Pending,Lake Georgemouth
10/07/2023,09:48:29,Caller 68,KBt 7339,Payment Issue,No Action Needed,Valeriechester
22/11/2023,07:52:32,Caller 35,KAi 4595,Booking,Resolved,Ericton
28/06/2023,12:17:37,Caller 19,KOy 9744,General Question,Resolved,Petermouth
12/11/2023,17:34:40,Caller 15,KEy 2596,Complaint,Resolved,Lake Brianton
04/01/2023,18:16:06,Caller 53,Kld 7669,General Question,Pending,Brandtfort
11/10/2023,21:29:15,Caller 11,Kyb 9920,Booking,No Action Needed,New Justin
14/09/2023,01:01:51,Caller 58,Kmi 1485,Payment Issue,Pending,East Gregory
03/03/2023,18:39:40,Caller 47,Kpf 3605,Complaint,No Action Needed,North Walterborough
04/05/2024,15:20:17,Caller 55,Kze 7831,Complaint,No Action Needed,Port Jacobstad
10/05/2023,17:17:15,Caller 74,KqX 3662,Car Wash Inquiry,Escalated,North Kenneth
03/03/2024,16:03:43,Caller 25,KLw 5970,General Question,Escalated,Lake Jeffery
12/05/2023,15:02:09,Caller 29,KXu 3672,Car Wash Inquiry,Pending,Lake Michelle
10/02/2023,00:04:59,Caller 23,KBd 2900,Payment Issue,Escalated,North Jillianbury
04/03/2024,15:25:44,Caller 68,KvY 6508,Complaint,Resolved,Meganbury
06/05/2023,23:09:25,Caller 9,KKp 7464,Payment Issue,Escalated,West Dawnmouth
28/02/2023,03:10:54,Caller 62,KBb 8573,Booking,Escalated,North Samuelfurt
16/10/2023,21:26:53,Caller 71,KCo 5959,General Question,Escalated,Williamshire
22/05/2023,21:13:03,Caller 62,KpW 0022,Booking,Pending,West Ronald
06/02/2023,21:16:40,Caller 40,Kss 4098,General Question,No Action Needed,Henryview
25/06/2023,05:31:47,Caller 50,Kgh 6489,General Question,Escalated,Hudsonchester
29/07/2023,18:41:11,Caller 78,Kue 2794,Complaint,Pending,Simmonsmouth
23/01/2024,08:05:50,Caller 76,Kyw 4436,Booking,Pending,Garyberg
07/01/2024,01:33:44,Caller 68,Kdm 4556,Car Wash Inquiry,Pending,Kaitlynberg
19/02/2023,15:30:10,Caller 60,Kpl 4911,Booking,Resolved,Barbaraland
06/08/2023,04:49:05,Caller 35,KdP 8116,Booking,Pending,West Edward
11/06/2023,14:00:29,Caller 3,Kig 5385,General Question,Pending,New Amy
24/03/2024,17:22:16,Caller 78,KVR 7112,Car Wash Inquiry,Pending,Ashleybury
22/12/2023,05:58:20,Unknown Caller,Kcn 1654,Booking,No Action Needed,Cartermouth
16/12/2023,05:13:59,Caller 80,KMa 5683,General Question,Pending,New Michelle
25/05/2023,04:01:32,Caller 33,KKU 7612,Booking,No Action Needed,South Christopher
11/09/2023,00:22:58,Caller 6,KTB 3094,General Question,No Action Needed,South Monique
01/05/2024,04:20:28,Caller 78,KZr 3960,Booking,Pending,South Christian
30/12/2023,04:18:08,Caller 20,KWP 2822,Complaint,Escalated,Ronaldfort
13/02/2023,14:24:13,Caller 22,KuV 9644,General Question,Resolved,North Robin
09/03/2023,09:16:31,Caller 79,KdT 1178,Car Wash Inquiry,Pending,Port Erin
31/05/2023,16:35:19,Caller 42,Kdw 7883,Booking,Escalated,Adamsberg
07/01/2023,03:59:02,Caller 72,KYd 8980,Car Wash Inquiry,Resolved,Millerport
12/09/2023,14:53:27,Caller 48,KjP 7516,Booking,No Action Needed,Lambertton
13/03/2024,08:27:00,Caller 53,KtT 6150,Payment Issue,No Action Needed,Johnsontown
18/12/2023,10:56:38,Caller 47,KKj 9035,General Question,Pending,Kevinton
23/09/2023,12:13:36,Caller 19,Kbf 0312,Complaint,Pending,West Jason
24/05/2023,13:29:00,Caller 43,Khj 5126,Payment Issue,Pending,East Mark
10/01/2023,04:43:40,Caller 66,KAa 2927,Complaint,Pending,Jeremyborough
26/06/2023,00:50:07,Caller 17,Kst 4691,General Question,Resolved,East Christina
17/03/2023,17:26:15,Unknown Caller,KaP 9413,Booking,Pending,Gordonview
13/02/2024,15:33:28,Caller 56,Kjk 4769,Payment Issue,Pending,Patricialand
06/11/2023,07:09:04,Caller 8,Khg 2598,General Question,No Action Needed,North Matthewberg
24/01/2023,20:04:39,Caller 23,KIk 5612,Booking,Escalated,East Brenda
14/05/2023,08:26:26,Caller 32,KrD 0243,Booking,Escalated,Mcdowellview
16/01/2024,16:55:16,Caller 13,KvX 8335,General Question,No Action Needed,Juliehaven
02/07/2023,08:50:09,Caller 47,Knx 5522,Payment Issue,Pending,New Andrew
08/04/2024,05:00:09,Caller 54,KIQ 8401,Complaint,Pending,Fitzgeraldside
17/12/2023,17:19:14,Caller 47,KHI 9415,Booking,Pending,West Karenport
03/07/2023,22:07:12,Unknown Caller,KkB 0729,Car Wash Inquiry,Escalated,Lake Josephberg
05/08/2023,01:22:58,Caller 15,KaE 1954,Complaint,No Action Needed,Lake Matthew
16/04/2024,03:15:27,Unknown Caller,KQN 5083,Complaint,No Action Needed,North Steven
14/09/2023,23:59:13,Caller 48,KVZ 2880,Car Wash Inquiry,Escalated,Alyssamouth
25/09/2023,16:54:07,Caller 63,Koh 5980,Complaint,Pending,Lake Michelleview
28/05/2023,10:28:12,Caller 57,KSd 7123,Payment Issue,Pending,North Yvonneview
07/04/2024,01:59:22,Caller 1,KTc 8982,Complaint,Pending,Herringborough
07/02/2024,08:14:34,Caller 77,KeF 0832,Booking,No Action Needed,New Melissaton
20/05/2023,18:27:33,Caller 10,Kzb 5507,Car Wash Inquiry,No Action Needed,Martinezmouth
29/02/2024,19:04:28,Caller 63,KAe 1016,Booking,Escalated,Robertton
23/02/2023,03:58:55,Caller 3,KVm 9720,Complaint,No Action Needed,Brentport
04/12/2023,15:34:09,Caller 39,KcP 4053,Booking,Pending,West Jennifershire
19/12/2023,05:28:17,Caller 43,Kkk 6130,General Question,Escalated,Lake Christopherborough
01/08/2023,15:51:42,Caller 64,KrM 2325,Booking,Escalated,Bradyview
27/03/2023,18:31:14,Caller 33,KnQ 6661,Booking,No Action Needed,Freemanhaven
27/05/2023,22:49:41,Caller 42,KTu 2102,Booking,Escalated,Longhaven
10/03/2024,07:59:35,Caller 68,KFt 3491,Car Wash Inquiry,No Action Needed,Port Bryan
28/01/2023,17:01:31,Caller 23,Ksv 1348,General Question,No Action Needed,Johnsonport
02/11/2023,08:21:55,Caller 77,KJC 3916,Payment Issue,Pending,Lake Kristihaven
15/09/2023,01:50:27,Caller 75,KBC 9590,Car Wash Inquiry,Escalated,New Brian
11/06/2023,19:18:06,Caller 64,Khr 2511,Car Wash Inquiry,No Action Needed,Mooremouth
22/03/2024,14:27:39,Caller 1,KQx 8528,Booking,Escalated,East Marciastad
02/05/2024,21:40:32,Caller 22,KbG 3450,General Question,Resolved,South Robertberg
16/01/2024,15:34:00,Caller 26,KkR 0071,Complaint,Pending,East Kristenview
13/12/2023,09:53:50,Caller 39,KhI 8717,Complaint,Pending,South Brittany
10/12/2023,02:12:27,Caller 3,KZH 0817,Booking,Resolved,Lake Frankborough
02/08/2023,23:02:06,Caller 70,KPA 0628,General Question,Resolved,Elizabethside
05/02/2024,08:16:56,Caller 41,KMa 2443,Booking,Escalated,Miguelport
27/02/2024,01:30:23,Caller 2,KZA 5924,Payment Issue,Pending,South Brandon
04/01/2024,20:47:12,Caller 29,KzZ 4638,Car Wash Inquiry,Resolved,East Heather
26/02/2024,08:35:21,Caller 1,KvH 8759,Car Wash Inquiry,Pending,Danielleshire
15/01/2023,04:25:33,Caller 17,Kcm 8587,General Question,No Action Needed,Jacksonland
24/04/2023,22:17:27,Caller 3,Kan 2128,Car Wash Inquiry,Escalated,South Brandon
01/04/2023,20:35:16,Caller 46,KrJ 0089,General Question,No Action Needed,Port Michelle
19/02/2024,11:45:00,Caller 18,KZm 3719,Payment Issue,No Action Needed,Carterfurt
29/03/2024,08:28:14,Caller 79,KXL 9705,Car Wash Inquiry,Escalated,Joelborough
20/09/2023,00:44:34,Caller 49,KHF 9348,Booking,Resolved,Christinaport
09/09/2023,08:11:42,Caller 30,KJe 9940,Payment Issue,Resolved,West Sandrachester
12/10/2023,18:47:21,Caller 29,KgW 8325,Car Wash Inquiry,Escalated,Lake Michelleview
21/11/2023,19:36:55,Caller 12,Kbl 8955,General Question,Escalated,Lake Lisa
18/03/2024,05:47:29,Caller 3,KyQ 6923,Payment Issue,Escalated,Lake Noahmouth
10/04/2024,10:37:00,Caller 33,KTf 3952,Car Wash Inquiry,Escalated,Zamoraview
22/01/2024,18:46:14,Caller 5,KUf 2891,Car Wash Inquiry,No Action Needed,Carterhaven
22/12/2023,13:41:38,Caller 58,KqC 2249,Booking,Escalated,Lake Antonio
